identifier,grouping,county,keyhealthindicator,date,cases_rate
Isiolo_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Isiolo,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,12
Isiolo_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Isiolo,Measles doses in stock at the beginning of the Month,03/01/2019,2574
Isiolo_Measles doses received within the Month_2019/March,2-Immunization,Isiolo,Measles doses received within the Month,03/01/2019,2590
Isiolo_Measles doses remaining  at the end Month_2019/March,2-Immunization,Isiolo,Measles doses remaining  at the end Month,03/01/2019,3188
Isiolo_Measles_2019/March,3-Cases Reported,Isiolo,Measles,03/01/2019,33
Kajiado_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Kajiado,Measles-Rubella 1 doses Administered,03/01/2019,2668
Kajiado_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Kajiado,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,1058
Kajiado_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Kajiado,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,74
Kajiado_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Kajiado,Measles doses in stock at the beginning of the Month,03/01/2019,8602
Kajiado_Measles doses received within the Month_2019/March,2-Immunization,Kajiado,Measles doses received within the Month,03/01/2019,8380
Kajiado_Measles doses remaining  at the end Month_2019/March,2-Immunization,Kajiado,Measles doses remaining  at the end Month,03/01/2019,8546
Kajiado_Measles_2019/March,3-Cases Reported,Kajiado,Measles,03/01/2019,23
Kakamega_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Kakamega,Measles-Rubella 1 doses Administered,03/01/2019,5105
Kakamega_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Kakamega,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,2750
Kakamega_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Kakamega,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,425
Kakamega_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Kakamega,Measles doses in stock at the beginning of the Month,03/01/2019,12857
Kakamega_Measles doses received within the Month_2019/March,2-Immunization,Kakamega,Measles doses received within the Month,03/01/2019,16858
Kakamega_Measles doses remaining  at the end Month_2019/March,2-Immunization,Kakamega,Measles doses remaining  at the end Month,03/01/2019,10764
Kakamega_Measles_2019/March,3-Cases Reported,Kakamega,Measles,03/01/2019,2
Kericho_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Kericho,Measles-Rubella 1 doses Administered,03/01/2019,1902
Kericho_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Kericho,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,1206
Kericho_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Kericho,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,39
Kericho_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Kericho,Measles doses in stock at the beginning of the Month,03/01/2019,8820
Kericho_Measles doses received within the Month_2019/March,2-Immunization,Kericho,Measles doses received within the Month,03/01/2019,8420
Kericho_Measles doses remaining  at the end Month_2019/March,2-Immunization,Kericho,Measles doses remaining  at the end Month,03/01/2019,8828
Kericho_Measles_2019/March,3-Cases Reported,Kericho,Measles,03/01/2019,3
Kiambu_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Kiambu,Measles-Rubella 1 doses Administered,03/01/2019,5535
Kiambu_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Kiambu,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,3753
Kiambu_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Kiambu,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,45
Kiambu_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Kiambu,Measles doses in stock at the beginning of the Month,03/01/2019,15994
Kiambu_Measles doses received within the Month_2019/March,2-Immunization,Kiambu,Measles doses received within the Month,03/01/2019,14930
Kiambu_Measles doses remaining  at the end Month_2019/March,2-Immunization,Kiambu,Measles doses remaining  at the end Month,03/01/2019,13174
Kiambu_Measles_2019/March,3-Cases Reported,Kiambu,Measles,03/01/2019,23
Kilifi_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Kilifi,Measles-Rubella 1 doses Administered,03/01/2019,4049
Kilifi_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Kilifi,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,2338
Kilifi_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Kilifi,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,271
Kilifi_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Kilifi,Measles doses in stock at the beginning of the Month,03/01/2019,15200
Kilifi_Measles doses received within the Month_2019/March,2-Immunization,Kilifi,Measles doses received within the Month,03/01/2019,11157
Kilifi_Measles doses remaining  at the end Month_2019/March,2-Immunization,Kilifi,Measles doses remaining  at the end Month,03/01/2019,12276
Kilifi_Measles_2019/March,3-Cases Reported,Kilifi,Measles,03/01/2019,9
Kirinyaga_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Kirinyaga,Measles-Rubella 1 doses Administered,03/01/2019,1193
Kirinyaga_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Kirinyaga,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,854
Kirinyaga_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Kirinyaga,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,16
Kirinyaga_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Kirinyaga,Measles doses in stock at the beginning of the Month,03/01/2019,7670
Kirinyaga_Measles doses received within the Month_2019/March,2-Immunization,Kirinyaga,Measles doses received within the Month,03/01/2019,4780
Kirinyaga_Measles doses remaining  at the end Month_2019/March,2-Immunization,Kirinyaga,Measles doses remaining  at the end Month,03/01/2019,7610
Kirinyaga_Measles_2019/March,3-Cases Reported,Kirinyaga,Measles,03/01/2019,0
Kisii_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Kisii,Measles-Rubella 1 doses Administered,03/01/2019,2819
Kisii_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Kisii,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,1676
Kisii_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Kisii,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,75
Kisii_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Kisii,Measles doses in stock at the beginning of the Month,03/01/2019,13268
Kisii_Measles doses received within the Month_2019/March,2-Immunization,Kisii,Measles doses received within the Month,03/01/2019,7911
Kisii_Measles doses remaining  at the end Month_2019/March,2-Immunization,Kisii,Measles doses remaining  at the end Month,03/01/2019,9240
Kisii_Measles_2019/March,3-Cases Reported,Kisii,Measles,03/01/2019,5
Kisumu_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Kisumu,Measles-Rubella 1 doses Administered,03/01/2019,3278
Kisumu_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Kisumu,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,1438
Kisumu_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Kisumu,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,110
Kisumu_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Kisumu,Measles doses in stock at the beginning of the Month,03/01/2019,13963
Kisumu_Measles doses received within the Month_2019/March,2-Immunization,Kisumu,Measles doses received within the Month,03/01/2019,10970
Kisumu_Measles doses remaining  at the end Month_2019/March,2-Immunization,Kisumu,Measles doses remaining  at the end Month,03/01/2019,13769
Kisumu_Measles_2019/March,3-Cases Reported,Kisumu,Measles,03/01/2019,14
Kitui_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Kitui,Measles-Rubella 1 doses Administered,03/01/2019,2426
Kitui_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Kitui,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,1564
Kitui_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Kitui,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,125
Kitui_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Kitui,Measles doses in stock at the beginning of the Month,03/01/2019,13278
Kitui_Measles doses received within the Month_2019/March,2-Immunization,Kitui,Measles doses received within the Month,03/01/2019,8080
Kitui_Measles doses remaining  at the end Month_2019/March,2-Immunization,Kitui,Measles doses remaining  at the end Month,03/01/2019,10693
Kitui_Measles_2019/March,3-Cases Reported,Kitui,Measles,03/01/2019,14
Kwale_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Kwale,Measles-Rubella 1 doses Administered,03/01/2019,2581
Kwale_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Kwale,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,1469
Kwale_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Kwale,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,164
Kwale_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Kwale,Measles doses in stock at the beginning of the Month,03/01/2019,11345
Kwale_Measles doses received within the Month_2019/March,2-Immunization,Kwale,Measles doses received within the Month,03/01/2019,6950
Kwale_Measles doses remaining  at the end Month_2019/March,2-Immunization,Kwale,Measles doses remaining  at the end Month,03/01/2019,9681
Kwale_Measles_2019/March,3-Cases Reported,Kwale,Measles,03/01/2019,16
Laikipia_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Laikipia,Measles-Rubella 1 doses Administered,03/01/2019,1205
Laikipia_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Laikipia,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,895
Laikipia_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Laikipia,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,36
Laikipia_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Laikipia,Measles doses in stock at the beginning of the Month,03/01/2019,4400
Laikipia_Measles doses received within the Month_2019/March,2-Immunization,Laikipia,Measles doses received within the Month,03/01/2019,5370
Laikipia_Measles doses remaining  at the end Month_2019/March,2-Immunization,Laikipia,Measles doses remaining  at the end Month,03/01/2019,4930
Laikipia_Measles_2019/March,3-Cases Reported,Laikipia,Measles,03/01/2019,9
Lamu_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Lamu,Measles-Rubella 1 doses Administered,03/01/2019,358
Lamu_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Lamu,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,71
Lamu_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Lamu,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,3
Lamu_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Lamu,Measles doses in stock at the beginning of the Month,03/01/2019,1980
Lamu_Measles doses received within the Month_2019/March,2-Immunization,Lamu,Measles doses received within the Month,03/01/2019,790
Lamu_Measles doses remaining  at the end Month_2019/March,2-Immunization,Lamu,Measles doses remaining  at the end Month,03/01/2019,1619
Lamu_Measles_2019/March,3-Cases Reported,Lamu,Measles,03/01/2019,0
Machakos_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Machakos,Measles-Rubella 1 doses Administered,03/01/2019,2793
Machakos_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Machakos,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,1804
Machakos_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Machakos,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,35
Machakos_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Machakos,Measles doses in stock at the beginning of the Month,03/01/2019,9030
Machakos_Measles doses received within the Month_2019/March,2-Immunization,Machakos,Measles doses received within the Month,03/01/2019,10230
Machakos_Measles doses remaining  at the end Month_2019/March,2-Immunization,Machakos,Measles doses remaining  at the end Month,03/01/2019,8326
Machakos_Measles_2019/March,3-Cases Reported,Machakos,Measles,03/01/2019,9
Siaya_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Siaya,Measles-Rubella 1 doses Administered,03/01/2019,2621
Siaya_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Siaya,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,1108
Siaya_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Siaya,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,87
Siaya_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Siaya,Measles doses in stock at the beginning of the Month,03/01/2019,13320
Siaya_Measles doses received within the Month_2019/March,2-Immunization,Siaya,Measles doses received within the Month,03/01/2019,9640
Siaya_Measles doses remaining  at the end Month_2019/March,2-Immunization,Siaya,Measles doses remaining  at the end Month,03/01/2019,12253
Siaya_Measles_2019/March,3-Cases Reported,Siaya,Measles,03/01/2019,671
Samburu_Measles-Rubella 1 doses Administered_2019/March,2-Immunization,Samburu,Measles-Rubella 1 doses Administered,03/01/2019,793
Samburu_Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years)_2019/March,2-Immunization,Samburu,Measles-Rubella 2 Dose Adm (at 1 1/2 - 2 years),03/01/2019,168
Samburu_Measles-Rubella 2 Dose Administered >2 yrs_2019/March,2-Immunization,Samburu,Measles-Rubella 2 Dose Administered >2 yrs,03/01/2019,18
Samburu_Measles doses in stock at the beginning of the Month_2019/March,2-Immunization,Samburu,Measles doses in stock at the beginning of the Month,03/01/2019,2922
Samburu_Measles doses received within the Month_2019/March,2-Immunization,Samburu,Measles doses received within the Month,03/01/2019,2740
Samburu_Measles doses remaining  at the end Month_2019/March,2-Immunization,Samburu,Measles doses remaining  at the end Month,03/01/2019,3586
Samburu_Measles_2019/March,3-Cases Reported,Samburu,Measles,03/01/2019,0
