county,variable,estimate,std.error,statistic,p.value,conf_low,conf_high,significant
Marsabit,(Intercept),1.092,0.207,5.269,0.034,0.751,1.433,Significant
Marsabit,Cattle incidence,-0.052,0.057,-0.913,0.458,-0.145,0.042,Not Significant
Marsabit,Goat Incidence,0.165,0.751,0.22,0.846,-1.07,1.4,Not Significant
Meru,(Intercept),0.51,NA,NA,NA,NA,NA,NA
Meru,Cattle incidence,NA,NA,NA,NA,NA,NA,NA
Meru,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Migori,(Intercept),1.242,NA,NA,NA,NA,NA,NA
Migori,Cattle incidence,NA,NA,NA,NA,NA,NA,NA
Migori,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Mombasa,(Intercept),0.009,NA,NA,NA,NA,NA,NA
Mombasa,Cattle incidence,NA,NA,NA,NA,NA,NA,NA
Mombasa,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Murang'a,(Intercept),0.107,NA,NA,NA,NA,NA,NA
Murang'a,Cattle incidence,-0,NA,NA,NA,NA,NA,NA
Murang'a,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Nakuru,(Intercept),1.464,0.157,9.304,0,1.205,1.723,Significant
Nakuru,Cattle incidence,0.007,0.009,0.785,0.458,-0.008,0.022,Not Significant
Nakuru,Goat Incidence,-0.008,0.018,-0.445,0.67,-0.038,0.022,Not Significant
Nandi,(Intercept),6.389,1.312,4.87,0.017,4.231,8.548,Significant
Nandi,Cattle incidence,-1.878,0.824,-2.278,0.107,-3.235,-0.522,Significant
Nandi,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Narok,(Intercept),2.19,NA,NA,NA,NA,NA,NA
Narok,Cattle incidence,NA,NA,NA,NA,NA,NA,NA
Narok,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Nyamira,(Intercept),1.567,0.243,6.452,0.023,1.167,1.967,Significant
Nyamira,Cattle incidence,-0.003,0.051,-0.061,0.957,-0.088,0.082,Not Significant
Nyamira,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Nyeri,(Intercept),0.156,NA,NA,NA,NA,NA,NA
Nyeri,Cattle incidence,-0.002,NA,NA,NA,NA,NA,NA
Nyeri,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Siaya,(Intercept),0.661,0.118,5.579,0.003,0.466,0.856,Significant
Siaya,Cattle incidence,-0.012,0.009,-1.303,0.249,-0.027,0.003,Not Significant
Siaya,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Taita Taveta,(Intercept),0.598,NA,NA,NA,NA,NA,NA
Taita Taveta,Cattle incidence,-0.1,NA,NA,NA,NA,NA,NA
Taita Taveta,Goat Incidence,-6.537,NA,NA,NA,NA,NA,NA
Tharaka Nithi,(Intercept),1.866,0.121,15.379,0.004,1.666,2.065,Significant
Tharaka Nithi,Cattle incidence,-0.051,0.027,-1.867,0.203,-0.095,-0.006,Significant
Tharaka Nithi,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Trans Nzoia,(Intercept),3.157,0.869,3.632,0.068,1.727,4.587,Significant
Trans Nzoia,Cattle incidence,-0.239,0.24,-0.999,0.423,-0.633,0.155,Not Significant
Trans Nzoia,Goat Incidence,0.442,0.35,1.261,0.335,-0.135,1.018,Not Significant
Turkana,(Intercept),1.22,0.069,17.775,0,1.107,1.333,Significant
Turkana,Cattle incidence,-0.014,0.006,-2.32,0.081,-0.024,-0.004,Significant
Turkana,Goat Incidence,0.082,0.034,2.408,0.074,0.026,0.138,Significant
Uasin Gishu,(Intercept),0.119,NA,NA,NA,NA,NA,NA
Uasin Gishu,Cattle incidence,0.075,NA,NA,NA,NA,NA,NA
Uasin Gishu,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
Vihiga,(Intercept),0.632,0.272,2.324,0.259,0.185,1.08,Significant
Vihiga,Cattle incidence,0.005,0.031,0.166,0.895,-0.045,0.056,Not Significant
Vihiga,Goat Incidence,NA,NA,NA,NA,NA,NA,NA
West Pokot,(Intercept),4.635,0.467,9.924,0.001,3.867,5.403,Significant
West Pokot,Cattle incidence,0.045,0.08,0.558,0.606,-0.087,0.176,Not Significant
West Pokot,Goat Incidence,-66.096,54.869,-1.205,0.295,-156.355,24.163,Not Significant
